Date,Dividend
2000-02-23,0.333
2000-05-17,0.333
2000-08-16,0.333
2000-11-15,0.35
2001-02-21,0.35
2001-05-16,0.35
2001-08-15,0.367
2001-11-14,0.367
2002-02-20,0.383
2002-05-15,0.383
2002-08-14,0.4
2002-11-13,0.4
2003-02-26,0.417
2003-05-14,0.375
2003-08-13,0.433
2003-11-12,0.433
2004-02-18,0.45
2004-05-12,0.405
2004-08-11,0.426
2004-11-09,0.426
2005-02-16,0.51
2005-05-11,0.51
2005-08-10,0.536
2005-11-08,0.536
2006-02-22,0.563
2006-05-10,0.563
2006-08-09,0.59
2006-11-08,0.59
2007-02-21,0.62
2007-05-09,0.62
2007-08-08,0.65
2007-11-07,0.65
2008-02-20,0.812
2008-05-14,0.812
2008-08-13,0.84
2008-11-12,0.84
2009-02-18,0.84
2009-05-13,0.84
2009-08-12,0.84
2009-11-10,0.84
2010-02-17,0.84
2011-02-09,0.42
2011-05-11,0.42
2011-08-03,0.42
2011-11-02,0.42
2012-02-15,0.48
2012-05-09,0.48
2012-08-08,0.48
2012-11-07,0.54
2013-02-13,0.54
2013-05-08,0.54
2013-08-07,0.54
2013-11-06,0.57
2014-02-12,0.57
2014-05-07,0.585
2014-08-06,0.585
2014-11-05,0.6
2015-02-11,0.6
2015-05-06,0.6
2015-08-05,0.6
2015-11-04,0.6
2016-02-10,0.6
2016-05-04,0.6
2016-08-03,0.6
2016-11-08,0.6
2017-02-15,0.6
2017-05-10,0.6
2017-08-09,0.6
2017-11-09,0.6
2018-02-15,0.6
2018-05-10,0.6
2018-08-09,0.615
2018-11-08,0.615
2019-02-14,0.615
2019-05-09,0.615
2019-08-08,0.615
2019-11-07,0.615
2020-02-13,0.63
2020-05-08,0.63
2020-08-13,0.315
2020-11-05,0.315
2021-02-18,0.315
2021-05-06,0.315
2021-08-12,0.328
2021-11-10,0.328
2022-02-17,0.328
2022-05-12,0.328
2022-08-11,0.36
2022-11-09,0.36
2023-02-16,0.397
2023-05-11,0.397
2023-08-10,0.436
2023-11-09,0.436
2024-02-15,0.436
2024-05-16,0.436
2024-08-09,0.48
2024-11-08,0.48
2025-02-21,0.48
2025-05-16,0.48
2025-08-15,0.499
2025-11-14,0.499
2026-02-20,0.499
2026-05-15,0.499
